Data,Temperatura (°C),Temperatura máx (°C),Temperatura mín (°C),Temperatura da água (°C),Precipitação (mm),Horas de sol (h)
01/01/2021,26 °C,30 °C,24 °C,28 °C,1.3 mm,6.6
02/01/2021,26 °C,31 °C,24 °C,28 °C,1.7 mm,7.0
03/01/2021,27 °C,31 °C,24 °C,28 °C,1.4 mm,7.2
04/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,6.5
05/01/2021,26 °C,31 °C,24 °C,28 °C,1.4 mm,7.4
06/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.4
07/01/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.4
08/01/2021,26 °C,30 °C,24 °C,28 °C,1.7 mm,7.4
09/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.9
10/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,7.2
11/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.2
12/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,6.3
13/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.6
14/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.2
15/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.1
16/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.4
17/01/2021,26 °C,30 °C,24 °C,28 °C,2.3 mm,6.7
18/01/2021,26 °C,30 °C,24 °C,28 °C,2.1 mm,6.6
19/01/2021,26 °C,30 °C,24 °C,28 °C,2.3 mm,7.2
20/01/2021,26 °C,31 °C,24 °C,28 °C,2.7 mm,7.0
21/01/2021,26 °C,30 °C,24 °C,28 °C,3.0 mm,6.3
22/01/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.5
23/01/2021,26 °C,30 °C,24 °C,28 °C,2.4 mm,6.8
24/01/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.0
25/01/2021,26 °C,30 °C,24 °C,28 °C,2.2 mm,7.3
26/01/2021,26 °C,31 °C,24 °C,28 °C,2.3 mm,7.5
27/01/2021,26 °C,30 °C,24 °C,28 °C,2.8 mm,6.9
28/01/2021,27 °C,30 °C,24 °C,28 °C,2.8 mm,6.9
29/01/2021,26 °C,30 °C,24 °C,28 °C,2.7 mm,6.8
30/01/2021,26 °C,30 °C,24 °C,28 °C,2.0 mm,6.9
31/01/2021,26 °C,31 °C,24 °C,28 °C,2.3 mm,6.9
01/02/2021,27 °C,31 °C,24 °C,28 °C,1.8 mm,7.4
02/02/2021,27 °C,31 °C,24 °C,28 °C,2.1 mm,6.9
03/02/2021,27 °C,31 °C,24 °C,28 °C,2.4 mm,6.7
04/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,6.8
05/02/2021,27 °C,31 °C,24 °C,28 °C,2.4 mm,7.4
06/02/2021,27 °C,31 °C,24 °C,28 °C,2.3 mm,7.2
07/02/2021,27 °C,31 °C,24 °C,28 °C,1.4 mm,7.4
08/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,7.1
09/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.4
10/02/2021,26 °C,31 °C,24 °C,28 °C,2.4 mm,7.2
11/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.2
12/02/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,7.1
13/02/2021,27 °C,31 °C,24 °C,28 °C,3.8 mm,6.9
14/02/2021,26 °C,30 °C,24 °C,28 °C,3.0 mm,7.0
15/02/2021,26 °C,30 °C,24 °C,28 °C,2.5 mm,6.8
16/02/2021,27 °C,31 °C,24 °C,28 °C,2.7 mm,7.2
17/02/2021,27 °C,31 °C,24 °C,28 °C,3.4 mm,7.1
18/02/2021,26 °C,30 °C,24 °C,28 °C,4.0 mm,6.8
19/02/2021,26 °C,30 °C,24 °C,28 °C,2.7 mm,6.9
20/02/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.9
21/02/2021,26 °C,30 °C,24 °C,28 °C,2.9 mm,6.5
22/02/2021,26 °C,30 °C,24 °C,28 °C,3.8 mm,7.3
23/02/2021,26 °C,30 °C,24 °C,28 °C,3.4 mm,6.5
24/02/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,7.1
25/02/2021,27 °C,31 °C,24 °C,28 °C,2.0 mm,7.3
26/02/2021,27 °C,31 °C,24 °C,28 °C,1.9 mm,6.9
27/02/2021,27 °C,31 °C,24 °C,29 °C,2.0 mm,6.7
28/02/2021,27 °C,30 °C,24 °C,28 °C,2.6 mm,6.4
29/02/2021,28 °C,31 °C,25 °C,29 °C,2.6 mm,7.4
01/03/2021,27 °C,31 °C,24 °C,28 °C,2.2 mm,6.8
02/03/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
03/03/2021,27 °C,31 °C,24 °C,29 °C,2.2 mm,6.8
04/03/2021,26 °C,30 °C,24 °C,29 °C,3.1 mm,6.9
05/03/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
06/03/2021,27 °C,31 °C,24 °C,29 °C,1.8 mm,7.1
07/03/2021,27 °C,31 °C,24 °C,29 °C,1.6 mm,7.6
08/03/2021,27 °C,31 °C,24 °C,29 °C,2.0 mm,7.5
09/03/2021,27 °C,31 °C,24 °C,29 °C,2.6 mm,7.1
10/03/2021,27 °C,31 °C,24 °C,29 °C,1.7 mm,7.1
11/03/2021,27 °C,31 °C,24 °C,29 °C,1.7 mm,7.1
12/03/2021,27 °C,31 °C,24 °C,29 °C,3.3 mm,7.1
13/03/2021,27 °C,31 °C,24 °C,29 °C,2.6 mm,7.0
14/03/2021,27 °C,31 °C,24 °C,29 °C,2.0 mm,7.1
15/03/2021,27 °C,31 °C,24 °C,29 °C,2.1 mm,7.0
16/03/2021,27 °C,31 °C,24 °C,29 °C,4.1 mm,6.8
17/03/2021,26 °C,31 °C,24 °C,29 °C,4.5 mm,6.7
18/03/2021,26 °C,30 °C,24 °C,29 °C,3.6 mm,6.4
19/03/2021,26 °C,31 °C,24 °C,29 °C,2.4 mm,7.4
20/03/2021,27 °C,31 °C,24 °C,29 °C,2.4 mm,7.3
21/03/2021,27 °C,31 °C,24 °C,29 °C,2.4 mm,7.0
22/03/2021,27 °C,31 °C,24 °C,29 °C,1.8 mm,7.3
23/03/2021,27 °C,31 °C,24 °C,29 °C,3.5 mm,6.9
24/03/2021,26 °C,31 °C,24 °C,29 °C,2.7 mm,6.6
25/03/2021,26 °C,31 °C,24 °C,29 °C,3.5 mm,6.7
26/03/2021,26 °C,31 °C,24 °C,29 °C,2.8 mm,6.7
27/03/2021,27 °C,31 °C,24 °C,29 °C,3.5 mm,7.2
28/03/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.2
29/03/2021,26 °C,31 °C,24 °C,29 °C,3.7 mm,6.8
30/03/2021,26 °C,30 °C,24 °C,29 °C,4.0 mm,6.2
31/03/2021,26 °C,30 °C,24 °C,29 °C,4.2 mm,6.1
01/04/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.7
02/04/2021,26 °C,31 °C,24 °C,29 °C,2.4 mm,6.9
03/04/2021,27 °C,31 °C,24 °C,29 °C,2.5 mm,7.5
04/04/2021,27 °C,31 °C,24 °C,29 °C,2.8 mm,7.1
05/04/2021,26 °C,31 °C,24 °C,29 °C,2.6 mm,6.7
06/04/2021,27 °C,31 °C,24 °C,29 °C,2.6 mm,6.9
07/04/2021,27 °C,31 °C,24 °C,29 °C,3.0 mm,7.2
08/04/2021,27 °C,31 °C,24 °C,29 °C,3.1 mm,6.8
09/04/2021,26 °C,30 °C,24 °C,29 °C,3.9 mm,6.6
10/04/2021,26 °C,30 °C,24 °C,29 °C,3.2 mm,6.6
11/04/2021,26 °C,30 °C,24 °C,29 °C,4.0 mm,6.4
12/04/2021,26 °C,29 °C,24 °C,29 °C,8.4 mm,5.8
13/04/2021,26 °C,29 °C,24 °C,29 °C,4.7 mm,6.2
14/04/2021,26 °C,30 °C,24 °C,29 °C,4.5 mm,6.3
15/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.3
16/04/2021,26 °C,30 °C,24 °C,29 °C,2.7 mm,6.9
17/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.4
18/04/2021,26 °C,29 °C,24 °C,29 °C,7.4 mm,6.5
19/04/2021,26 °C,30 °C,24 °C,29 °C,4.4 mm,6.3
20/04/2021,26 °C,30 °C,24 °C,29 °C,2.6 mm,6.4
21/04/2021,26 °C,30 °C,24 °C,29 °C,3.0 mm,6.7
22/04/2021,26 °C,29 °C,24 °C,29 °C,4.2 mm,6.0
23/04/2021,26 °C,29 °C,24 °C,29 °C,4.3 mm,6.3
24/04/2021,26 °C,30 °C,24 °C,29 °C,2.9 mm,7.0
25/04/2021,26 °C,30 °C,24 °C,29 °C,3.3 mm,6.7
26/04/2021,26 °C,30 °C,24 °C,29 °C,2.2 mm,6.3
27/04/2021,26 °C,30 °C,24 °C,29 °C,3.1 mm,6.5
28/04/2021,26 °C,29 °C,24 °C,29 °C,4.2 mm,6.3
29/04/2021,26 °C,29 °C,24 °C,29 °C,8.3 mm,6.4
30/04/2021,26 °C,29 °C,24 °C,29 °C,5.9 mm,5.5
01/05/2021,26 °C,29 °C,24 °C,29 °C,4.3 mm,6.1
02/05/2021,26 °C,29 °C,24 °C,29 °C,4.0 mm,6.4
03/05/2021,26 °C,29 °C,24 °C,29 °C,5.2 mm,6.4
04/05/2021,26 °C,29 °C,24 °C,29 °C,2.8 mm,6.4
05/05/2021,26 °C,29 °C,24 °C,29 °C,3.1 mm,5.9
06/05/2021,26 °C,29 °C,24 °C,29 °C,4.1 mm,6.2
07/05/2021,26 °C,29 °C,24 °C,28 °C,2.9 mm,5.9
08/05/2021,26 °C,29 °C,24 °C,28 °C,3.7 mm,6.2
09/05/2021,26 °C,29 °C,24 °C,28 °C,3.8 mm,6.4
10/05/2021,25 °C,29 °C,23 °C,28 °C,5.9 mm,5.3
11/05/2021,26 °C,29 °C,24 °C,28 °C,4.8 mm,6.0
12/05/2021,26 °C,29 °C,24 °C,28 °C,3.7 mm,6.5
13/05/2021,26 °C,29 °C,24 °C,28 °C,2.8 mm,6.3
14/05/2021,26 °C,29 °C,23 °C,28 °C,2.9 mm,6.1
15/05/2021,25 °C,29 °C,24 °C,28 °C,3.8 mm,5.9
16/05/2021,25 °C,29 °C,23 °C,28 °C,3.6 mm,6.1
17/05/2021,25 °C,29 °C,24 °C,28 °C,4.2 mm,5.9
18/05/2021,25 °C,29 °C,23 °C,28 °C,3.4 mm,6.1
19/05/2021,25 °C,29 °C,23 °C,28 °C,3.7 mm,6.0
20/05/2021,25 °C,29 °C,23 °C,28 °C,3.3 mm,5.8
21/05/2021,25 °C,29 °C,23 °C,28 °C,5.1 mm,5.8
22/05/2021,25 °C,29 °C,24 °C,28 °C,3.7 mm,6.0
23/05/2021,25 °C,29 °C,23 °C,28 °C,4.9 mm,6.1
24/05/2021,25 °C,29 °C,23 °C,28 °C,6.9 mm,6.2
25/05/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,5.5
26/05/2021,25 °C,28 °C,23 °C,28 °C,3.3 mm,5.7
27/05/2021,25 °C,28 °C,23 °C,28 °C,3.4 mm,6.2
28/05/2021,25 °C,28 °C,23 °C,28 °C,3.6 mm,5.9
29/05/2021,25 °C,28 °C,23 °C,28 °C,3.5 mm,5.7
30/05/2021,25 °C,28 °C,23 °C,28 °C,4.9 mm,6.0
31/05/2021,25 °C,28 °C,23 °C,28 °C,4.8 mm,5.6
01/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.3
02/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,5.9
03/06/2021,25 °C,28 °C,23 °C,28 °C,4.2 mm,6.3
04/06/2021,25 °C,28 °C,23 °C,28 °C,5.5 mm,6.0
05/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,5.7
06/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.1
07/06/2021,25 °C,28 °C,23 °C,28 °C,3.2 mm,5.9
08/06/2021,25 °C,28 °C,23 °C,28 °C,3.7 mm,6.7
09/06/2021,25 °C,28 °C,23 °C,28 °C,3.8 mm,6.2
10/06/2021,25 °C,28 °C,23 °C,28 °C,3.4 mm,6.5
11/06/2021,25 °C,28 °C,23 °C,27 °C,3.4 mm,6.2
12/06/2021,25 °C,28 °C,23 °C,27 °C,5.4 mm,5.8
13/06/2021,24 °C,27 °C,23 °C,27 °C,4.1 mm,5.8
14/06/2021,24 °C,27 °C,23 °C,27 °C,3.2 mm,5.7
15/06/2021,24 °C,27 °C,23 °C,27 °C,6.4 mm,5.4
16/06/2021,24 °C,27 °C,23 °C,27 °C,7.8 mm,5.4
17/06/2021,24 °C,27 °C,23 °C,27 °C,7.1 mm,5.2
18/06/2021,24 °C,27 °C,23 °C,27 °C,7.0 mm,5.5
19/06/2021,24 °C,28 °C,23 °C,27 °C,5.4 mm,5.7
20/06/2021,24 °C,28 °C,23 °C,27 °C,4.5 mm,6.1
21/06/2021,24 °C,27 °C,23 °C,27 °C,4.3 mm,5.9
22/06/2021,24 °C,28 °C,23 °C,27 °C,2.7 mm,5.9
23/06/2021,24 °C,27 °C,23 °C,27 °C,3.8 mm,5.9
24/06/2021,24 °C,27 °C,22 °C,27 °C,3.8 mm,5.9
25/06/2021,24 °C,27 °C,22 °C,27 °C,4.1 mm,6.5
26/06/2021,24 °C,27 °C,22 °C,27 °C,6.6 mm,5.7
27/06/2021,24 °C,27 °C,22 °C,27 °C,8.6 mm,5.8
28/06/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,5.7
29/06/2021,24 °C,27 °C,22 °C,27 °C,6.6 mm,6.1
30/06/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,5.7
01/07/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,5.3
02/07/2021,24 °C,27 °C,22 °C,27 °C,13.6 mm,5.3
03/07/2021,24 °C,27 °C,22 °C,27 °C,7.1 mm,5.6
04/07/2021,24 °C,27 °C,22 °C,27 °C,5.5 mm,5.8
05/07/2021,24 °C,27 °C,22 °C,27 °C,3.4 mm,6.1
06/07/2021,24 °C,27 °C,22 °C,27 °C,4.5 mm,5.4
07/07/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,5.8
08/07/2021,24 °C,27 °C,22 °C,27 °C,3.4 mm,6.3
09/07/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,6.1
10/07/2021,24 °C,27 °C,22 °C,27 °C,3.0 mm,6.5
11/07/2021,24 °C,27 °C,22 °C,27 °C,4.2 mm,5.7
12/07/2021,24 °C,27 °C,22 °C,27 °C,4.9 mm,5.6
13/07/2021,24 °C,27 °C,22 °C,27 °C,4.7 mm,6.3
14/07/2021,24 °C,27 °C,22 °C,27 °C,2.9 mm,6.4
15/07/2021,24 °C,27 °C,22 °C,27 °C,2.5 mm,6.6
16/07/2021,24 °C,27 °C,22 °C,27 °C,5.3 mm,5.9
17/07/2021,24 °C,27 °C,22 °C,27 °C,5.5 mm,5.9
18/07/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,6.0
19/07/2021,24 °C,27 °C,22 °C,27 °C,3.5 mm,5.7
20/07/2021,24 °C,27 °C,22 °C,26 °C,3.9 mm,5.2
21/07/2021,24 °C,27 °C,22 °C,26 °C,4.5 mm,5.3
22/07/2021,24 °C,27 °C,22 °C,26 °C,3.5 mm,5.4
23/07/2021,24 °C,27 °C,22 °C,26 °C,2.7 mm,6.5
24/07/2021,24 °C,27 °C,22 °C,26 °C,2.6 mm,6.1
25/07/2021,24 °C,27 °C,22 °C,26 °C,2.7 mm,6.2
26/07/2021,24 °C,26 °C,22 °C,26 °C,4.5 mm,5.0
27/07/2021,24 °C,27 °C,22 °C,26 °C,4.9 mm,5.4
28/07/2021,24 °C,27 °C,22 °C,26 °C,3.1 mm,5.5
29/07/2021,24 °C,27 °C,22 °C,26 °C,3.0 mm,6.2
30/07/2021,23 °C,26 °C,22 °C,26 °C,3.6 mm,5.8
31/07/2021,24 °C,27 °C,22 °C,26 °C,3.2 mm,5.9
01/08/2021,23 °C,27 °C,22 °C,26 °C,3.3 mm,5.6
02/08/2021,24 °C,27 °C,22 °C,26 °C,3.1 mm,6.2
03/08/2021,24 °C,27 °C,22 °C,26 °C,3.5 mm,5.8
04/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,6.4
05/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,5.8
06/08/2021,24 °C,27 °C,22 °C,26 °C,2.0 mm,6.6
07/08/2021,24 °C,27 °C,22 °C,26 °C,2.8 mm,6.1
08/08/2021,24 °C,27 °C,22 °C,26 °C,3.0 mm,5.7
09/08/2021,24 °C,27 °C,22 °C,26 °C,4.9 mm,5.7
10/08/2021,24 °C,27 °C,22 °C,26 °C,2.0 mm,6.7
11/08/2021,24 °C,27 °C,22 °C,26 °C,1.8 mm,6.5
12/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,5.9
13/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,5.8
14/08/2021,24 °C,27 °C,22 °C,26 °C,3.2 mm,5.4
15/08/2021,24 °C,27 °C,22 °C,26 °C,2.1 mm,6.0
16/08/2021,24 °C,27 °C,22 °C,26 °C,2.9 mm,6.2
17/08/2021,24 °C,27 °C,22 °C,26 °C,2.5 mm,6.2
18/08/2021,23 °C,27 °C,22 °C,26 °C,3.6 mm,5.8
19/08/2021,24 °C,27 °C,22 °C,26 °C,2.9 mm,6.1
20/08/2021,24 °C,27 °C,22 °C,26 °C,2.7 mm,6.0
21/08/2021,24 °C,27 °C,22 °C,26 °C,2.5 mm,6.0
22/08/2021,24 °C,27 °C,22 °C,26 °C,2.8 mm,6.1
23/08/2021,24 °C,27 °C,22 °C,26 °C,2.3 mm,6.5
24/08/2021,24 °C,27 °C,22 °C,26 °C,2.5 mm,5.6
25/08/2021,24 °C,27 °C,22 °C,26 °C,2.5 mm,6.1
26/08/2021,24 °C,27 °C,22 °C,26 °C,1.8 mm,6.2
27/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,6.1
28/08/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,6.2
29/08/2021,24 °C,28 °C,22 °C,26 °C,2.1 mm,6.0
30/08/2021,24 °C,28 °C,22 °C,26 °C,5.4 mm,6.4
31/08/2021,24 °C,28 °C,22 °C,26 °C,1.9 mm,6.8
01/09/2021,24 °C,27 °C,22 °C,26 °C,2.2 mm,5.8
02/09/2021,24 °C,27 °C,22 °C,26 °C,2.0 mm,6.2
03/09/2021,24 °C,28 °C,22 °C,26 °C,1.8 mm,6.4
04/09/2021,24 °C,28 °C,22 °C,26 °C,2.2 mm,5.5
05/09/2021,24 °C,28 °C,22 °C,26 °C,2.0 mm,5.9
06/09/2021,24 °C,28 °C,22 °C,26 °C,2.0 mm,6.0
07/09/2021,24 °C,27 °C,22 °C,26 °C,2.4 mm,5.3
08/09/2021,24 °C,28 °C,22 °C,26 °C,2.5 mm,6.1
09/09/2021,24 °C,28 °C,22 °C,26 °C,2.2 mm,6.4
10/09/2021,24 °C,28 °C,22 °C,26 °C,2.2 mm,6.5
11/09/2021,24 °C,28 °C,22 °C,26 °C,2.0 mm,6.1
12/09/2021,24 °C,27 °C,22 °C,26 °C,2.8 mm,6.1
13/09/2021,24 °C,28 °C,22 °C,26 °C,2.2 mm,6.2
14/09/2021,24 °C,28 °C,22 °C,26 °C,1.9 mm,5.8
15/09/2021,24 °C,28 °C,22 °C,26 °C,1.9 mm,5.9
16/09/2021,24 °C,28 °C,22 °C,26 °C,2.3 mm,5.8
17/09/2021,24 °C,28 °C,22 °C,26 °C,1.9 mm,5.8
18/09/2021,24 °C,28 °C,22 °C,26 °C,1.8 mm,6.2
19/09/2021,24 °C,28 °C,22 °C,26 °C,1.9 mm,6.3
20/09/2021,24 °C,28 °C,22 °C,26 °C,1.6 mm,6.1
21/09/2021,25 °C,28 °C,22 °C,26 °C,1.3 mm,6.1
22/09/2021,25 °C,29 °C,22 °C,26 °C,1.3 mm,5.9
23/09/2021,25 °C,28 °C,23 °C,26 °C,1.2 mm,6.0
24/09/2021,25 °C,28 °C,22 °C,26 °C,1.4 mm,6.4
25/09/2021,25 °C,29 °C,22 °C,27 °C,1.2 mm,5.9
26/09/2021,25 °C,29 °C,23 °C,27 °C,1.2 mm,5.8
27/09/2021,25 °C,29 °C,23 °C,27 °C,1.6 mm,6.0
28/09/2021,25 °C,29 °C,23 °C,27 °C,2.0 mm,5.6
29/09/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,6.3
30/09/2021,25 °C,29 °C,23 °C,27 °C,0.8 mm,6.4
01/10/2021,25 °C,29 °C,23 °C,27 °C,1.1 mm,6.3
02/10/2021,25 °C,29 °C,23 °C,27 °C,1.1 mm,6.1
03/10/2021,25 °C,29 °C,23 °C,27 °C,1.3 mm,6.1
04/10/2021,25 °C,29 °C,23 °C,27 °C,1.2 mm,5.6
05/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,5.6
06/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,6.0
07/10/2021,25 °C,29 °C,23 °C,27 °C,1.6 mm,5.7
08/10/2021,25 °C,29 °C,23 °C,27 °C,1.8 mm,6.3
09/10/2021,25 °C,29 °C,23 °C,27 °C,1.5 mm,6.4
10/10/2021,25 °C,29 °C,23 °C,27 °C,1.3 mm,6.2
11/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,6.1
12/10/2021,25 °C,29 °C,23 °C,27 °C,2.0 mm,5.5
13/10/2021,25 °C,29 °C,23 °C,27 °C,1.7 mm,6.2
14/10/2021,25 °C,29 °C,23 °C,27 °C,1.7 mm,6.0
15/10/2021,25 °C,29 °C,23 °C,27 °C,1.2 mm,6.3
16/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,5.9
17/10/2021,25 °C,29 °C,23 °C,27 °C,1.5 mm,6.7
18/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,6.2
19/10/2021,25 °C,29 °C,23 °C,27 °C,1.4 mm,5.7
20/10/2021,26 °C,30 °C,23 °C,27 °C,1.2 mm,6.2
21/10/2021,26 °C,30 °C,23 °C,27 °C,1.3 mm,6.2
22/10/2021,26 °C,30 °C,23 °C,27 °C,1.3 mm,7.0
23/10/2021,26 °C,29 °C,23 °C,27 °C,1.2 mm,5.5
24/10/2021,26 °C,29 °C,23 °C,27 °C,1.4 mm,6.6
25/10/2021,26 °C,29 °C,23 °C,27 °C,1.3 mm,6.3
26/10/2021,26 °C,29 °C,23 °C,27 °C,1.5 mm,6.3
27/10/2021,26 °C,30 °C,23 °C,27 °C,1.4 mm,6.5
28/10/2021,26 °C,30 °C,23 °C,27 °C,1.1 mm,6.5
29/10/2021,26 °C,30 °C,23 °C,27 °C,1.2 mm,5.6
30/10/2021,26 °C,30 °C,23 °C,27 °C,1.0 mm,6.9
31/10/2021,26 °C,30 °C,23 °C,27 °C,1.4 mm,6.4
01/11/2021,26 °C,30 °C,23 °C,27 °C,1.2 mm,6.6
02/11/2021,26 °C,30 °C,23 °C,27 °C,1.3 mm,6.7
03/11/2021,26 °C,30 °C,23 °C,27 °C,1.1 mm,6.4
04/11/2021,26 °C,30 °C,23 °C,27 °C,1.1 mm,6.5
05/11/2021,26 °C,30 °C,23 °C,27 °C,1.0 mm,6.4
06/11/2021,26 °C,30 °C,24 °C,27 °C,0.8 mm,6.4
07/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.4
08/11/2021,26 °C,30 °C,24 °C,27 °C,1.2 mm,6.7
09/11/2021,26 °C,30 °C,24 °C,27 °C,1.3 mm,6.9
10/11/2021,26 °C,30 °C,23 °C,27 °C,1.2 mm,6.6
11/11/2021,26 °C,30 °C,23 °C,27 °C,1.5 mm,6.8
12/11/2021,26 °C,30 °C,24 °C,27 °C,1.0 mm,7.0
13/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.5
14/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.8
15/11/2021,26 °C,30 °C,24 °C,27 °C,1.5 mm,6.6
16/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.3
17/11/2021,26 °C,30 °C,24 °C,27 °C,1.5 mm,6.5
18/11/2021,26 °C,30 °C,24 °C,27 °C,1.2 mm,7.0
19/11/2021,26 °C,31 °C,24 °C,27 °C,1.0 mm,7.1
20/11/2021,26 °C,30 °C,24 °C,27 °C,1.0 mm,6.5
21/11/2021,26 °C,30 °C,24 °C,27 °C,0.9 mm,6.9
22/11/2021,26 °C,30 °C,24 °C,27 °C,1.5 mm,6.3
23/11/2021,26 °C,30 °C,24 °C,27 °C,1.4 mm,6.4
24/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.9
25/11/2021,26 °C,30 °C,24 °C,27 °C,1.2 mm,6.9
26/11/2021,26 °C,30 °C,24 °C,27 °C,1.5 mm,6.3
27/11/2021,26 °C,30 °C,24 °C,27 °C,1.7 mm,6.5
28/11/2021,26 °C,30 °C,24 °C,27 °C,1.2 mm,6.9
29/11/2021,26 °C,30 °C,24 °C,27 °C,1.1 mm,6.6
30/11/2021,26 °C,30 °C,24 °C,27 °C,1.0 mm,6.7
01/12/2021,26 °C,30 °C,24 °C,27 °C,1.0 mm,6.4
02/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,6.7
03/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,7.0
04/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,7.0
05/12/2021,26 °C,31 °C,24 °C,27 °C,1.3 mm,7.4
06/12/2021,27 °C,31 °C,24 °C,27 °C,1.0 mm,7.7
07/12/2021,27 °C,31 °C,24 °C,27 °C,0.9 mm,7.3
08/12/2021,27 °C,31 °C,24 °C,27 °C,1.3 mm,6.7
09/12/2021,26 °C,31 °C,24 °C,28 °C,1.0 mm,7.0
10/12/2021,26 °C,31 °C,24 °C,28 °C,1.1 mm,7.1
11/12/2021,26 °C,31 °C,24 °C,28 °C,1.2 mm,7.1
12/12/2021,26 °C,31 °C,24 °C,28 °C,1.3 mm,6.7
13/12/2021,26 °C,31 °C,24 °C,28 °C,1.1 mm,6.7
14/12/2021,26 °C,30 °C,24 °C,28 °C,1.3 mm,7.0
15/12/2021,26 °C,30 °C,24 °C,28 °C,2.2 mm,7.0
16/12/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.1
17/12/2021,26 °C,30 °C,24 °C,28 °C,2.0 mm,6.1
18/12/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.1
19/12/2021,26 °C,30 °C,24 °C,28 °C,1.5 mm,6.6
20/12/2021,26 °C,30 °C,24 °C,28 °C,1.4 mm,6.9
21/12/2021,26 °C,30 °C,24 °C,28 °C,1.5 mm,6.7
22/12/2021,26 °C,30 °C,24 °C,28 °C,1.4 mm,6.6
23/12/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,6.8
24/12/2021,26 °C,31 °C,24 °C,28 °C,1.6 mm,6.9
25/12/2021,26 °C,31 °C,24 °C,28 °C,1.5 mm,7.7
26/12/2021,26 °C,30 °C,24 °C,28 °C,1.2 mm,7.3
27/12/2021,26 °C,30 °C,24 °C,28 °C,1.5 mm,7.1
28/12/2021,26 °C,31 °C,24 °C,28 °C,1.3 mm,7.0
29/12/2021,26 °C,31 °C,24 °C,28 °C,1.7 mm,6.2
30/12/2021,26 °C,30 °C,24 °C,28 °C,1.7 mm,6.7
31/12/2021,26 °C,30 °C,24 °C,28 °C,1.7 mm,7.1